,index,feedername,complete,in_progress,total
305,1270,CMD02VB01,10,0,10
306,1278,CMD10VB01,14,10,24
307,1260,CMC08VB01,2,0,2
308,0,CSA02VB01,0,0,0
309,0,MAA01VB01,0,0,0
310,1461,PYB02VB01,9,0,9
311,0,MTA01VB01,0,0,0
312,1345,HOA07VB01,2,0,2
313,0,CUN10VB01,0,0,0
314,1447,PAS05VB01,12,0,12
315,1338,FAA08VB01,59,1,60
316,1258,CMC05VB01,27,9,36
317,0,MLA03VB01,0,0,0
318,0,LPA02VB01,0,0,0
319,1255,CMC02VB01,8,2,10
320,0,TEA07VB01,0,0,0
321,1351,LIA02VB01,9,0,9
322,1271,CMD03VB01,15,0,15
323,1189,SKP01VB01,0,2,2
324,1317,CSA05VB01,1,0,1
325,0,CEA04VB01,0,0,0
326,1239,CMA08VB01,10,21,31
327,0,CUN05VB01,0,0,0
328,0,NIU01VB01,0,0,0
329,0,PAU04VB01,0,0,0
330,1201,TNG02VB01,21,5,26
331,1411,MHA04VB01,6,7,13
332,1347,HOA09VB01,3,0,3
333,1192,SKP05VB01,1,2,3
334,1221,CEA01VB01,3,0,3
335,1341,HCA02VB01,4,0,4
336,1441,PAN03VB01,27,0,27
337,3128,SGA09VB01,1,8,9
338,1449,PAU02VB01,4,99,103
339,1203,TNG07VB01,4,1,5
340,1365,LNB06VB01,0,1,1
341,1458,PYA07VB01,77,40,117
342,0,LPA04VB01,0,0,0
343,3129,SGA10VB01,0,15,15
344,0,NIC08VB01,0,0,0
345,0,NIC06VB01,0,0,0
346,0,HOA01VB01,0,0,0
347,0,LNB07VB01,0,0,0
348,0,NIC02VB01,0,0,0
349,1294,CMV03VB01,9,7,16
350,0,TEA05VB01,0,0,0
351,1236,CMA05VB01,6,22,28
352,1231,CKN03VB01,1,0,1
353,1353,LIA04VB01,34,0,34
354,1371,LNC04VB01,6,27,33
355,1339,FAA09VB01,12,0,12
356,1227,CHM01VB01,5,0,5
357,1455,PYA04VB01,41,4,45
358,1343,HCA04VB01,34,0,34
359,0,WPA06VB01,0,0,0
360,1358,LNA03VB01,29,18,47
361,0,TEA02VB01,0,0,0
362,0,NIU05VB01,0,0,0
363,1291,CMU05VB01,24,29,53
364,0,CSA10VB01,0,0,0
365,1232,CMA01VB01,38,14,52
366,0,MAA04VB01,0,0,0
367,1240,CMA09VB01,23,1,24
368,1392,MCA04VB01,1,0,1
369,0,HOA11VB01,0,0,0
370,0,CSA08VB01,0,0,0
371,1439,PAN01VB01,5,0,5
372,1238,CMA07VB01,5,30,35
373,0,WPA01VB01,0,0,0
374,1277,CMD09VB01,2,7,9
375,1257,CMC04VB01,1,2,3
376,0,LNB01VB01,0,0,0
377,1372,LNC06VB01,4,2,6
378,0,CRA09VB01,0,0,0
379,1402,MEA05VB01,7,0,7
380,0,PAN09VB01,0,0,0
381,0,CSA07VB01,0,0,0
382,1403,MEA07VB01,7,0,7
383,1404,MEA08VB01,7,0,7
384,1368,LNC01VB01,1,0,1
385,0,CUN07VB01,0,0,0
386,1274,CMD06VB01,81,14,95
387,1362,LNB02VB01,1,0,1
388,1420,MLA09VB01,2,0,2
389,0,HOA05VB01,0,0,0
